code,name,cityCode,provinceCode
110101,"东城区",1101,11
110102,"西城区",1101,11
110105,"朝阳区",1101,11
110106,"丰台区",1101,11
110107,"石景山区",1101,11
110108,"海淀区",1101,11
110109,"门头沟区",1101,11
110111,"房山区",1101,11
110112,"通州区",1101,11
110113,"顺义区",1101,11
110114,"昌平区",1101,11
110115,"大兴区",1101,11
110116,"怀柔区",1101,11
110117,"平谷区",1101,11
110118,"密云区",1101,11
110119,"延庆区",1101,11
120101,"和平区",1201,12
120102,"河东区",1201,12
120103,"河西区",1201,12
120104,"南开区",1201,12
120105,"河北区",1201,12
120106,"红桥区",1201,12
120110,"东丽区",1201,12
120111,"西青区",1201,12
120112,"津南区",1201,12
120113,"北辰区",1201,12
120114,"武清区",1201,12
120115,"宝坻区",1201,12
120116,"滨海新区",1201,12
120117,"宁河区",1201,12
120118,"静海区",1201,12
120119,"蓟州区",1201,12
130102,"长安区",1301,13
130104,"桥西区",1301,13
130105,"新华区",1301,13
130107,"井陉矿区",1301,13
130108,"裕华区",1301,13
130109,"藁城区",1301,13
130110,"鹿泉区",1301,13
130111,"栾城区",1301,13
130121,"井陉县",1301,13
130123,"正定县",1301,13
130125,"行唐县",1301,13
130126,"灵寿县",1301,13
130127,"高邑县",1301,13
130128,"深泽县",1301,13
130129,"赞皇县",1301,13
130130,"无极县",1301,13
130131,"平山县",1301,13
130132,"元氏县",1301,13
130133,"赵县",1301,13
130171,"石家庄高新技术产业开发区",1301,13
130172,"石家庄循环化工园区",1301,13
130181,"辛集市",1301,13
130183,"晋州市",1301,13
130184,"新乐市",1301,13
130202,"路南区",1302,13
130203,"路北区",1302,13
130204,"古冶区",1302,13
130205,"开平区",1302,13
130207,"丰南区",1302,13
130208,"丰润区",1302,13
130209,"曹妃甸区",1302,13
130224,"滦南县",1302,13
130225,"乐亭县",1302,13
130227,"迁西县",1302,13
130229,"玉田县",1302,13
130271,"河北唐山芦台经济开发区",1302,13
130272,"唐山市汉沽管理区",1302,13
130273,"唐山高新技术产业开发区",1302,13
130274,"河北唐山海港经济开发区",1302,13
130281,"遵化市",1302,13
130283,"迁安市",1302,13
130284,"滦州市",1302,13
130302,"海港区",1303,13
130303,"山海关区",1303,13
130304,"北戴河区",1303,13
130306,"抚宁区",1303,13
130321,"青龙满族自治县",1303,13
130322,"昌黎县",1303,13
130324,"卢龙县",1303,13
130371,"秦皇岛市经济技术开发区",1303,13
130372,"北戴河新区",1303,13
130402,"邯山区",1304,13
130403,"丛台区",1304,13
130404,"复兴区",1304,13
130406,"峰峰矿区",1304,13
130407,"肥乡区",1304,13
130408,"永年区",1304,13
130423,"临漳县",1304,13
130424,"成安县",1304,13
130425,"大名县",1304,13
130426,"涉县",1304,13
130427,"磁县",1304,13
130430,"邱县",1304,13
130431,"鸡泽县",1304,13
130432,"广平县",1304,13
130433,"馆陶县",1304,13
130434,"魏县",1304,13
130435,"曲周县",1304,13
130471,"邯郸经济技术开发区",1304,13
130473,"邯郸冀南新区",1304,13
130481,"武安市",1304,13
130502,"襄都区",1305,13
130503,"信都区",1305,13
130505,"任泽区",1305,13
130506,"南和区",1305,13
130522,"临城县",1305,13
130523,"内丘县",1305,13
130524,"柏乡县",1305,13
130525,"隆尧县",1305,13
130528,"宁晋县",1305,13
130529,"巨鹿县",1305,13
130530,"新河县",1305,13
130531,"广宗县",1305,13
130532,"平乡县",1305,13
130533,"威县",1305,13
130534,"清河县",1305,13
130535,"临西县",1305,13
130571,"河北邢台经济开发区",1305,13
130581,"南宫市",1305,13
130582,"沙河市",1305,13
130602,"竞秀区",1306,13
130606,"莲池区",1306,13
130607,"满城区",1306,13
130608,"清苑区",1306,13
130609,"徐水区",1306,13
130623,"涞水县",1306,13
130624,"阜平县",1306,13
130626,"定兴县",1306,13
130627,"唐县",1306,13
130628,"高阳县",1306,13
130629,"容城县",1306,13
130630,"涞源县",1306,13
130631,"望都县",1306,13
130632,"安新县",1306,13
130633,"易县",1306,13
130634,"曲阳县",1306,13
130635,"蠡县",1306,13
130636,"顺平县",1306,13
130637,"博野县",1306,13
130638,"雄县",1306,13
130671,"保定高新技术产业开发区",1306,13
130672,"保定白沟新城",1306,13
130681,"涿州市",1306,13
130682,"定州市",1306,13
130683,"安国市",1306,13
130684,"高碑店市",1306,13
130702,"桥东区",1307,13
130703,"桥西区",1307,13
130705,"宣化区",1307,13
130706,"下花园区",1307,13
130708,"万全区",1307,13
130709,"崇礼区",1307,13
130722,"张北县",1307,13
130723,"康保县",1307,13
130724,"沽源县",1307,13
130725,"尚义县",1307,13
130726,"蔚县",1307,13
130727,"阳原县",1307,13
130728,"怀安县",1307,13
130730,"怀来县",1307,13
130731,"涿鹿县",1307,13
130732,"赤城县",1307,13
130771,"张家口经济开发区",1307,13
130772,"张家口市察北管理区",1307,13
130773,"张家口市塞北管理区",1307,13
130802,"双桥区",1308,13
130803,"双滦区",1308,13
130804,"鹰手营子矿区",1308,13
130821,"承德县",1308,13
130822,"兴隆县",1308,13
130824,"滦平县",1308,13
130825,"隆化县",1308,13
130826,"丰宁满族自治县",1308,13
130827,"宽城满族自治县",1308,13
130828,"围场满族蒙古族自治县",1308,13
130871,"承德高新技术产业开发区",1308,13
130881,"平泉市",1308,13
130902,"新华区",1309,13
130903,"运河区",1309,13
130921,"沧县",1309,13
130922,"青县",1309,13
130923,"东光县",1309,13
130924,"海兴县",1309,13
130925,"盐山县",1309,13
130926,"肃宁县",1309,13
130927,"南皮县",1309,13
130928,"吴桥县",1309,13
130929,"献县",1309,13
130930,"孟村回族自治县",1309,13
130971,"河北沧州经济开发区",1309,13
130972,"沧州高新技术产业开发区",1309,13
130973,"沧州渤海新区",1309,13
130981,"泊头市",1309,13
130982,"任丘市",1309,13
130983,"黄骅市",1309,13
130984,"河间市",1309,13
131002,"安次区",1310,13
131003,"广阳区",1310,13
131022,"固安县",1310,13
131023,"永清县",1310,13
131024,"香河县",1310,13
131025,"大城县",1310,13
131026,"文安县",1310,13
131028,"大厂回族自治县",1310,13
131071,"廊坊经济技术开发区",1310,13
131081,"霸州市",1310,13
131082,"三河市",1310,13
131102,"桃城区",1311,13
131103,"冀州区",1311,13
131121,"枣强县",1311,13
131122,"武邑县",1311,13
131123,"武强县",1311,13
131124,"饶阳县",1311,13
131125,"安平县",1311,13
131126,"故城县",1311,13
131127,"景县",1311,13
131128,"阜城县",1311,13
131171,"河北衡水高新技术产业开发区",1311,13
131172,"衡水滨湖新区",1311,13
131182,"深州市",1311,13
140105,"小店区",1401,14
140106,"迎泽区",1401,14
140107,"杏花岭区",1401,14
140108,"尖草坪区",1401,14
140109,"万柏林区",1401,14
140110,"晋源区",1401,14
140121,"清徐县",1401,14
140122,"阳曲县",1401,14
140123,"娄烦县",1401,14
140171,"山西转型综合改革示范区",1401,14
140181,"古交市",1401,14
140212,"新荣区",1402,14
140213,"平城区",1402,14
140214,"云冈区",1402,14
140215,"云州区",1402,14
140221,"阳高县",1402,14
140222,"天镇县",1402,14
140223,"广灵县",1402,14
140224,"灵丘县",1402,14
140225,"浑源县",1402,14
140226,"左云县",1402,14
140271,"山西大同经济开发区",1402,14
140302,"城区",1403,14
140303,"矿区",1403,14
140311,"郊区",1403,14
140321,"平定县",1403,14
140322,"盂县",1403,14
140403,"潞州区",1404,14
140404,"上党区",1404,14
140405,"屯留区",1404,14
140406,"潞城区",1404,14
140423,"襄垣县",1404,14
140425,"平顺县",1404,14
140426,"黎城县",1404,14
140427,"壶关县",1404,14
140428,"长子县",1404,14
140429,"武乡县",1404,14
