code,name,provinceCode
1101,"市辖区",11
1201,"市辖区",12
1301,"石家庄市",13
1302,"唐山市",13
1303,"秦皇岛市",13
1304,"邯郸市",13
1305,"邢台市",13
1306,"保定市",13
1307,"张家口市",13
1308,"承德市",13
1309,"沧州市",13
1310,"廊坊市",13
1311,"衡水市",13
1401,"太原市",14
1402,"大同市",14
1403,"阳泉市",14
1404,"长治市",14
1405,"晋城市",14
1406,"朔州市",14
1407,"晋中市",14
1408,"运城市",14
1409,"忻州市",14
1410,"临汾市",14
1411,"吕梁市",14
1501,"呼和浩特市",15
1502,"包头市",15
1503,"乌海市",15
1504,"赤峰市",15
1505,"通辽市",15
1506,"鄂尔多斯市",15
1507,"呼伦贝尔市",15
1508,"巴彦淖尔市",15
1509,"乌兰察布市",15
1522,"兴安盟",15
1525,"锡林郭勒盟",15
1529,"阿拉善盟",15
2101,"沈阳市",21
2102,"大连市",21
2103,"鞍山市",21
2104,"抚顺市",21
2105,"本溪市",21
2106,"丹东市",21
2107,"锦州市",21
2108,"营口市",21
2109,"阜新市",21
2110,"辽阳市",21
2111,"盘锦市",21
2112,"铁岭市",21
2113,"朝阳市",21
2114,"葫芦岛市",21
2201,"长春市",22
2202,"吉林市",22
2203,"四平市",22
2204,"辽源市",22
2205,"通化市",22
2206,"白山市",22
2207,"松原市",22
2208,"白城市",22
2224,"延边朝鲜族自治州",22
2301,"哈尔滨市",23
2302,"齐齐哈尔市",23
2303,"鸡西市",23
2304,"鹤岗市",23
2305,"双鸭山市",23
2306,"大庆市",23
2307,"伊春市",23
2308,"佳木斯市",23
2309,"七台河市",23
2310,"牡丹江市",23
2311,"黑河市",23
2312,"绥化市",23
2327,"大兴安岭地区",23
3101,"市辖区",31
3201,"南京市",32
3202,"无锡市",32
3203,"徐州市",32
3204,"常州市",32
3205,"苏州市",32
3206,"南通市",32
3207,"连云港市",32
3208,"淮安市",32
3209,"盐城市",32
3210,"扬州市",32
3211,"镇江市",32
3212,"泰州市",32
3213,"宿迁市",32
3301,"杭州市",33
3302,"宁波市",33
3303,"温州市",33
3304,"嘉兴市",33
3305,"湖州市",33
3306,"绍兴市",33
3307,"金华市",33
3308,"衢州市",33
3309,"舟山市",33
3310,"台州市",33
3311,"丽水市",33
3401,"合肥市",34
3402,"芜湖市",34
3403,"蚌埠市",34
3404,"淮南市",34
3405,"马鞍山市",34
3406,"淮北市",34
3407,"铜陵市",34
3408,"安庆市",34
3410,"黄山市",34
3411,"滁州市",34
3412,"阜阳市",34
3413,"宿州市",34
3415,"六安市",34
3416,"亳州市",34
3417,"池州市",34
3418,"宣城市",34
3501,"福州市",35
3502,"厦门市",35
3503,"莆田市",35
3504,"三明市",35
3505,"泉州市",35
3506,"漳州市",35
3507,"南平市",35
3508,"龙岩市",35
3509,"宁德市",35
3601,"南昌市",36
3602,"景德镇市",36
3603,"萍乡市",36
3604,"九江市",36
3605,"新余市",36
3606,"鹰潭市",36
3607,"赣州市",36
3608,"吉安市",36
3609,"宜春市",36
3610,"抚州市",36
3611,"上饶市",36
3701,"济南市",37
3702,"青岛市",37
3703,"淄博市",37
3704,"枣庄市",37
3705,"东营市",37
3706,"烟台市",37
3707,"潍坊市",37
3708,"济宁市",37
3709,"泰安市",37
3710,"威海市",37
3711,"日照市",37
3713,"临沂市",37
3714,"德州市",37
3715,"聊城市",37
3716,"滨州市",37
3717,"菏泽市",37
4101,"郑州市",41
4102,"开封市",41
4103,"洛阳市",41
4104,"平顶山市",41
4105,"安阳市",41
4106,"鹤壁市",41
4107,"新乡市",41
4108,"焦作市",41
4109,"濮阳市",41
4110,"许昌市",41
4111,"漯河市",41
4112,"三门峡市",41
4113,"南阳市",41
4114,"商丘市",41
4115,"信阳市",41
4116,"周口市",41
4117,"驻马店市",41
4190,"省直辖县级行政区划",41
4201,"武汉市",42
4202,"黄石市",42
4203,"十堰市",42
4205,"宜昌市",42
4206,"襄阳市",42
4207,"鄂州市",42
4208,"荆门市",42
4209,"孝感市",42
4210,"荆州市",42
4211,"黄冈市",42
4212,"咸宁市",42
4213,"随州市",42
4228,"恩施土家族苗族自治州",42
4290,"省直辖县级行政区划",42
4301,"长沙市",43
4302,"株洲市",43
4303,"湘潭市",43
4304,"衡阳市",43
4305,"邵阳市",43
4306,"岳阳市",43
4307,"常德市",43
4308,"张家界市",43
4309,"益阳市",43
4310,"郴州市",43
4311,"永州市",43
4312,"怀化市",43
4313,"娄底市",43
4331,"湘西土家族苗族自治州",43
4401,"广州市",44
4402,"韶关市",44
4403,"深圳市",44
4404,"珠海市",44
4405,"汕头市",44
4406,"佛山市",44
4407,"江门市",44
4408,"湛江市",44
4409,"茂名市",44
4412,"肇庆市",44
4413,"惠州市",44
4414,"梅州市",44
4415,"汕尾市",44
4416,"河源市",44
4417,"阳江市",44
4418,"清远市",44
4419,"东莞市",44
4420,"中山市",44
4451,"潮州市",44
4452,"揭阳市",44
4453,"云浮市",44
4501,"南宁市",45
4502,"柳州市",45
4503,"桂林市",45
4504,"梧州市",45
4505,"北海市",45
4506,"防城港市",45
4507,"钦州市",45
4508,"贵港市",45
4509,"玉林市",45
4510,"百色市",45
4511,"贺州市",45
4512,"河池市",45
4513,"来宾市",45
4514,"崇左市",45
4601,"海口市",46
4602,"三亚市",46
4603,"三沙市",46
4604,"儋州市",46
4690,"省直辖县级行政区划",46
5001,"市辖区",50
5002,"县",50
5101,"成都市",51
5103,"自贡市",51
5104,"攀枝花市",51
5105,"泸州市",51
5106,"德阳市",51
5107,"绵阳市",51
5108,"广元市",51
5109,"遂宁市",51
5110,"内江市",51
5111,"乐山市",51
5113,"南充市",51
5114,"眉山市",51
5115,"宜宾市",51
5116,"广安市",51
5117,"达州市",51
5118,"雅安市",51
5119,"巴中市",51
5120,"资阳市",51
5132,"阿坝藏族羌族自治州",51
5133,"甘孜藏族自治州",51
5134,"凉山彝族自治州",51
5201,"贵阳市",52
5202,"六盘水市",52
5203,"遵义市",52
5204,"安顺市",52
5205,"毕节市",52
5206,"铜仁市",52
5223,"黔西南布依族苗族自治州",52
5226,"黔东南苗族侗族自治州",52
5227,"黔南布依族苗族自治州",52
5301,"昆明市",53
5303,"曲靖市",53
5304,"玉溪市",53
5305,"保山市",53
5306,"昭通市",53
5307,"丽江市",53
5308,"普洱市",53
5309,"临沧市",53
5323,"楚雄彝族自治州",53
5325,"红河哈尼族彝族自治州",53
5326,"文山壮族苗族自治州",53
