code,name,areaCode,provinceCode,cityCode
110101001,"东华门街道",110101,11,1101
110101002,"景山街道",110101,11,1101
110101003,"交道口街道",110101,11,1101
110101004,"安定门街道",110101,11,1101
110101005,"北新桥街道",110101,11,1101
110101006,"东四街道",110101,11,1101
110101007,"朝阳门街道",110101,11,1101
110101008,"建国门街道",110101,11,1101
110101009,"东直门街道",110101,11,1101
110101010,"和平里街道",110101,11,1101
110101011,"前门街道",110101,11,1101
110101012,"崇文门外街道",110101,11,1101
110101013,"东花市街道",110101,11,1101
110101014,"龙潭街道",110101,11,1101
110101015,"体育馆路街道",110101,11,1101
110101016,"天坛街道",110101,11,1101
110101017,"永定门外街道",110101,11,1101
110102001,"西长安街街道",110102,11,1101
110102003,"新街口街道",110102,11,1101
110102007,"月坛街道",110102,11,1101
110102009,"展览路街道",110102,11,1101
110102010,"德胜街道",110102,11,1101
110102011,"金融街街道",110102,11,1101
110102012,"什刹海街道",110102,11,1101
110102013,"大栅栏街道",110102,11,1101
110102014,"天桥街道",110102,11,1101
110102015,"椿树街道",110102,11,1101
110102016,"陶然亭街道",110102,11,1101
110102017,"广安门内街道",110102,11,1101
110102018,"牛街街道",110102,11,1101
110102019,"白纸坊街道",110102,11,1101
110102020,"广安门外街道",110102,11,1101
110105001,"建外街道",110105,11,1101
110105002,"朝外街道",110105,11,1101
110105003,"呼家楼街道",110105,11,1101
110105004,"三里屯街道",110105,11,1101
110105005,"左家庄街道",110105,11,1101
110105006,"香河园街道",110105,11,1101
110105007,"和平街街道",110105,11,1101
110105008,"安贞街道",110105,11,1101
110105009,"亚运村街道",110105,11,1101
110105010,"小关街道",110105,11,1101
110105011,"酒仙桥街道",110105,11,1101
110105012,"麦子店街道",110105,11,1101
110105013,"团结湖街道",110105,11,1101
110105014,"六里屯街道",110105,11,1101
110105015,"八里庄街道",110105,11,1101
110105016,"双井街道",110105,11,1101
110105017,"劲松街道",110105,11,1101
110105018,"潘家园街道",110105,11,1101
110105019,"垡头街道",110105,11,1101
110105020,"首都机场街道",110105,11,1101
110105021,"南磨房地区",110105,11,1101
110105022,"高碑店地区",110105,11,1101
110105023,"将台地区",110105,11,1101
110105024,"太阳宫地区",110105,11,1101
110105025,"大屯街道",110105,11,1101
110105026,"望京街道",110105,11,1101
110105027,"小红门地区",110105,11,1101
110105028,"十八里店地区",110105,11,1101
110105029,"平房地区",110105,11,1101
110105030,"东风地区",110105,11,1101
110105031,"奥运村街道",110105,11,1101
110105032,"来广营地区",110105,11,1101
110105033,"常营地区",110105,11,1101
110105034,"三间房地区",110105,11,1101
110105035,"管庄地区",110105,11,1101
110105036,"金盏地区",110105,11,1101
110105037,"孙河地区",110105,11,1101
110105038,"崔各庄地区",110105,11,1101
110105039,"东坝地区",110105,11,1101
110105040,"黑庄户地区",110105,11,1101
110105041,"豆各庄地区",110105,11,1101
110105042,"王四营地区",110105,11,1101
110105043,"东湖街道",110105,11,1101
110106001,"右安门街道",110106,11,1101
110106002,"太平桥街道",110106,11,1101
110106003,"西罗园街道",110106,11,1101
110106004,"大红门街道",110106,11,1101
110106005,"南苑街道",110106,11,1101
110106006,"东高地街道",110106,11,1101
110106007,"东铁匠营街道",110106,11,1101
110106008,"六里桥街道",110106,11,1101
110106009,"丰台街道",110106,11,1101
110106010,"新村街道",110106,11,1101
110106011,"长辛店街道",110106,11,1101
110106012,"云岗街道",110106,11,1101
110106013,"方庄街道",110106,11,1101
110106014,"宛平街道",110106,11,1101
110106015,"马家堡街道",110106,11,1101
110106016,"和义街道",110106,11,1101
110106017,"卢沟桥街道",110106,11,1101
110106018,"花乡街道",110106,11,1101
110106020,"成寿寺街道",110106,11,1101
110106021,"石榴庄街道",110106,11,1101
110106022,"玉泉营街道",110106,11,1101
110106023,"看丹街道",110106,11,1101
110106024,"五里店街道",110106,11,1101
110106025,"青塔街道",110106,11,1101
110106100,"北宫镇",110106,11,1101
110106101,"王佐镇",110106,11,1101
110107001,"八宝山街道",110107,11,1101
110107002,"老山街道",110107,11,1101
110107003,"八角街道",110107,11,1101
110107004,"古城街道",110107,11,1101
110107005,"苹果园街道",110107,11,1101
110107006,"金顶街街道",110107,11,1101
110107009,"广宁街道",110107,11,1101
110107010,"五里坨街道",110107,11,1101
110107011,"鲁谷街道",110107,11,1101
110108001,"万寿路街道",110108,11,1101
110108002,"永定路街道",110108,11,1101
110108003,"羊坊店街道",110108,11,1101
110108004,"甘家口街道",110108,11,1101
110108005,"八里庄街道",110108,11,1101
110108006,"紫竹院街道",110108,11,1101
110108007,"北下关街道",110108,11,1101
110108008,"北太平庄街道",110108,11,1101
110108010,"学院路街道",110108,11,1101
110108011,"中关村街道",110108,11,1101
110108012,"海淀街道",110108,11,1101
110108013,"青龙桥街道",110108,11,1101
110108014,"清华园街道",110108,11,1101
110108015,"燕园街道",110108,11,1101
110108016,"香山街道",110108,11,1101
110108017,"清河街道",110108,11,1101
110108018,"花园路街道",110108,11,1101
110108019,"西三旗街道",110108,11,1101
110108020,"马连洼街道",110108,11,1101
110108021,"田村路街道",110108,11,1101
110108022,"上地街道",110108,11,1101
110108023,"万柳地区",110108,11,1101
110108024,"东升地区",110108,11,1101
110108025,"曙光街道",110108,11,1101
110108026,"温泉地区",110108,11,1101
110108027,"四季青地区",110108,11,1101
110108028,"西北旺地区",110108,11,1101
110108029,"苏家坨地区",110108,11,1101
110108030,"上庄地区",110108,11,1101
110109001,"大峪街道",110109,11,1101
110109002,"城子街道",110109,11,1101
110109003,"东辛房街道",110109,11,1101
110109004,"大台街道",110109,11,1101
110109005,"王平地区",110109,11,1101
110109006,"永定地区",110109,11,1101
110109007,"龙泉地区",110109,11,1101
110109101,"潭柘寺镇",110109,11,1101
110109104,"军庄镇",110109,11,1101
110109105,"雁翅镇",110109,11,1101
110109106,"斋堂镇",110109,11,1101
110109107,"清水镇",110109,11,1101
110109108,"妙峰山镇",110109,11,1101
110111001,"城关街道",110111,11,1101
110111002,"新镇街道",110111,11,1101
110111004,"向阳街道",110111,11,1101
110111005,"东风街道",110111,11,1101
110111006,"迎风街道",110111,11,1101
110111007,"星城街道",110111,11,1101
110111008,"良乡地区",110111,11,1101
110111009,"周口店地区",110111,11,1101
110111010,"琉璃河地区",110111,11,1101
110111011,"拱辰街道",110111,11,1101
110111012,"西潞街道",110111,11,1101
110111101,"阎村镇",110111,11,1101
110111103,"窦店镇",110111,11,1101
110111104,"石楼镇",110111,11,1101
110111105,"长阳镇",110111,11,1101
110111107,"河北镇",110111,11,1101
110111108,"长沟镇",110111,11,1101
110111109,"大石窝镇",110111,11,1101
110111110,"张坊镇",110111,11,1101
110111111,"十渡镇",110111,11,1101
110111112,"青龙湖镇",110111,11,1101
110111115,"韩村河镇",110111,11,1101
110111208,"霞云岭乡",110111,11,1101
110111209,"南窖乡",110111,11,1101
110111210,"佛子庄乡",110111,11,1101
110111211,"大安山乡",110111,11,1101
110111212,"史家营乡",110111,11,1101
110111213,"蒲洼乡",110111,11,1101
110112001,"中仓街道",110112,11,1101
110112002,"新华街道",110112,11,1101
110112003,"北苑街道",110112,11,1101
110112004,"玉桥街道",110112,11,1101
110112007,"潞源街道",110112,11,1101
110112008,"通运街道",110112,11,1101
110112009,"文景街道",110112,11,1101
110112010,"九棵树街道",110112,11,1101
110112011,"临河里街道",110112,11,1101
110112012,"杨庄街道",110112,11,1101
110112013,"潞邑街道",110112,11,1101
110112104,"宋庄镇",110112,11,1101
110112105,"张家湾镇",110112,11,1101
110112106,"漷县镇",110112,11,1101
110112109,"马驹桥镇",110112,11,1101
110112110,"西集镇",110112,11,1101
110112114,"台湖镇",110112,11,1101
110112117,"永乐店镇",110112,11,1101
110112119,"潞城镇",110112,11,1101
110112120,"永顺镇",110112,11,1101
110112121,"梨园镇",110112,11,1101
110112209,"于家务回族乡",110112,11,1101
110113001,"胜利街道",110113,11,1101
110113002,"光明街道",110113,11,1101
110113003,"仁和地区",110113,11,1101
110113004,"后沙峪地区",110113,11,1101
110113005,"天竺地区",110113,11,1101
110113006,"杨镇地区",110113,11,1101
110113007,"牛栏山地区",110113,11,1101
110113008,"南法信地区",110113,11,1101
110113009,"马坡地区",110113,11,1101
110113010,"石园街道",110113,11,1101
110113011,"空港街道",110113,11,1101
110113012,"双丰街道",110113,11,1101
110113013,"旺泉街道",110113,11,1101
110113101,"高丽营镇",110113,11,1101
110113104,"李桥镇",110113,11,1101
110113105,"李遂镇",110113,11,1101
110113106,"南彩镇",110113,11,1101
110113108,"北务镇",110113,11,1101
110113109,"大孙各庄镇",110113,11,1101
110113110,"张镇",110113,11,1101
110113111,"龙湾屯镇",110113,11,1101
110113112,"木林镇",110113,11,1101
110113113,"北小营镇",110113,11,1101
110113115,"北石槽镇",110113,11,1101
110113116,"赵全营镇",110113,11,1101
110114001,"城北街道",110114,11,1101
110114002,"南口地区",110114,11,1101
110114003,"马池口地区",110114,11,1101
110114004,"沙河地区",110114,11,1101
110114005,"城南街道",110114,11,1101
110114007,"东小口地区",110114,11,1101
110114008,"天通苑北街道",110114,11,1101
110114009,"天通苑南街道",110114,11,1101
110114010,"霍营街道",110114,11,1101
110114011,"回龙观街道",110114,11,1101
110114012,"龙泽园街道",110114,11,1101
110114013,"史各庄街道",110114,11,1101
110114104,"阳坊镇",110114,11,1101
110114110,"小汤山镇",110114,11,1101
110114111,"南邵镇",110114,11,1101
110114112,"崔村镇",110114,11,1101
110114113,"百善镇",110114,11,1101
110114115,"北七家镇",110114,11,1101
110114116,"兴寿镇",110114,11,1101
110114118,"流村镇",110114,11,1101
110114119,"十三陵镇",110114,11,1101
110114120,"延寿镇",110114,11,1101
110115001,"兴丰街道",110115,11,1101
110115002,"林校路街道",110115,11,1101
110115003,"清源街道",110115,11,1101
110115004,"亦庄地区",110115,11,1101
110115005,"黄村地区",110115,11,1101
110115006,"旧宫地区",110115,11,1101
110115007,"西红门地区",110115,11,1101
110115008,"瀛海地区",110115,11,1101
110115009,"观音寺街道",110115,11,1101
110115010,"天宫院街道",110115,11,1101
110115011,"高米店街道",110115,11,1101
110115012,"荣华街道",110115,11,1101
110115013,"博兴街道",110115,11,1101
110115103,"青云店镇",110115,11,1101
